0,Martha Fu,2,4,[886 1829 2931 3251],0
1,Martha Fu,4,4,[3239 4168 9222 6455],0
2,Martha Fu,2,4,[2931 3239 7339 14860],0
3,Martha Fu,2,3,[2931 3239 7169],1
4,Martha Fu,2,4,[35639 6531 6990 35969],0
5,Martha Fu,4,4,[3239 4168 9222 10055],0
6,Martha Fu,3,4,[886 2404 2590 2849],0
7,Martha Fu,0,0,[],4
8,Martha Fu,4,4,[886 1837 2094 2167],0
9,Martha Fu,3,4,[3239 7169 4168 7984],0
10,Martha Fu,2,4,[886 1829 2404 2931],0
11,Martha Fu,5,4,[2931 35790 47212 43785],0
12,Martha Fu,2,4,[6531 7660 8086 9029],0
13,Martha Fu,2,4,[886 9029 2931 10451],0
14,Martha Fu,4,4,[886 1837 2167 2404],0
15,Martha Fu,2,4,[13731 14860 15286 16229],0
16,Martha Fu,2,4,[10131 11260 11686 12629],0
17,Martha Fu,3,4,[886 2404 2590 2849],0
18,Martha Fu,2,4,[886 1829 2404 2931],0
19,Martha Fu,3,4,[886 2094 2404 2590],0
20,Martha Fu,3,4,[2931 3390 25339 32799],0
21,Martha Fu,2,4,[6531 7660 8086 9029],0
22,Martha Fu,2,4,[2931 4060 4486 5429],0
23,Martha Fu,2,4,[6531 6839 10939 18460],0
24,Martha Fu,2,4,[2931 3239 7339 14860],0
25,Martha Fu,4,4,[3239 7169 18929 15643],0
26,Martha Fu,3,4,[886 1829 3763 4194],0
27,Martha Fu,3,4,[886 1829 3763 4194],0
28,Martha Fu,3,4,[886 2094 2404 2590],0
29,Martha Fu,4,4,[3239 4168 9222 10055],0
30,Martha Fu,4,4,[3239 7169 18929 15643],0
31,Martha Fu,0,0,[],4
32,Martha Fu,0,0,[],4
33,Martha Fu,2,4,[35639 6531 6990 39569],0
34,Martha Fu,3,4,[2931 3390 25339 32799],0
35,Martha Fu,4,4,[3239 4168 9222 10055],0
36,Martha Fu,2,4,[2931 3239 7339 14860],0
37,Jimmy Yuan,0,4,[8129 37145 34783 3930],0
38,Jimmy Yuan,1,4,[3260 4588 4733 14153],0
39,Jimmy Yuan,1,4,[330 929 1145 1783],0
40,Jimmy Yuan,0,4,[330 732 929 988],0
41,Jimmy Yuan,1,4,[929 3216 3930 4332],0
42,Jimmy Yuan,0,4,[330 929 988 1145],0
43,Jimmy Yuan,1,4,[330 1133 1290 1604],0
