0,Martha Fu,2,4,[35639 6531 6990 35969],0
1,Martha Fu,2,4,[10131 11260 11686 12629],0
2,Martha Fu,2,4,[2931 3239 3569 7571],0
3,Martha Fu,3,3,[886 3763 7794],1
4,Martha Fu,3,4,[3239 7169 4168 7984],0
5,Martha Fu,5,4,[2931 35790 47212 43785],0
6,Martha Fu,2,4,[10131 11260 11686 12629],0
7,Martha Fu,2,4,[6531 7660 8086 16229],0
8,Martha Fu,4,4,[3239 4168 9222 10055],0
9,Martha Fu,2,4,[2931 3239 3569 7571],0
10,Martha Fu,2,4,[886 19829 2404 2931],0
11,Martha Fu,3,4,[2931 3390 25339 32799],0
12,Martha Fu,2,4,[13731 14860 15286 16229],0
13,Martha Fu,2,4,[13731 14860 15286 16229],0
14,Martha Fu,2,4,[13731 14860 15286 16229],0
15,Martha Fu,2,4,[13731 14860 15286 23429],0
16,Martha Fu,2,4,[2931 4060 4486 5429],0
17,Martha Fu,2,4,[2931 4060 4486 12629],0
18,Martha Fu,2,4,[6531 6839 10939 18460],0
19,Martha Fu,2,4,[2931 3239 7339 14860],0
20,Martha Fu,3,4,[886 1829 3763 4194],0
21,Martha Fu,2,4,[886 1829 2404 2931],0
22,Martha Fu,2,4,[13731 14860 15286 16229],0
23,Martha Fu,2,4,[2931 4060 4486 5429],0
24,Martha Fu,3,4,[886 2404 2590 2849],0
25,Martha Fu,2,4,[2931 3239 3569 7571],0
26,Martha Fu,2,4,[886 1829 2404 2931],0
27,Martha Fu,2,4,[886 19829 2404 2931],0
28,Martha Fu,3,4,[2931 3390 3739 3999],0
29,Martha Fu,2,4,[10131 11260 11686 12629],0
30,Martha Fu,4,4,[3239 4168 9222 10055],0
31,Martha Fu,2,4,[6531 6839 10939 18460],0
32,Martha Fu,2,4,[6531 6839 10939 18460],0
33,Martha Fu,2,4,[886 1829 2404 2931],0
34,Martha Fu,2,4,[35639 6531 6990 35969],0
35,Martha Fu,5,4,[2931 35790 47212 43785],0
36,Martha Fu,2,4,[10131 11260 11686 12629],0
37,Martha Fu,2,4,[886 9029 2931 10451],0
38,Martha Fu,4,4,[3239 4168 9222 10055],0
39,Martha Fu,2,4,[6531 6839 10939 18460],0
40,Martha Fu,2,4,[2931 3239 3739 4060],0
41,Martha Fu,2,4,[2931 3239 7339 14860],0
42,Martha Fu,2,3,[2931 3239 7169],1
43,Martha Fu,2,4,[886 9029 2931 10451],0
44,Jimmy Yuan,0,4,[8129 37145 34783 3930],0
